a,b,labels
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C=O)cccc12,C[C@@]12CC(=O)[C@H]3C[C@]1(O)O[C@@H](O2)[C@@H]3COC(=O)c1ccccc1,0
CC1=CCCc2c1ccc1c2C(=O)C(=O)C2=C1OC[C@H]2C,[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]3(C)[C@@]1([H])[C@@H]2C,1
C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,C[C@H]1CC[C@@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4C[C@H](O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
CC1(C)C=Cc2c(ccc3c2O[C@H]2c4ccc(O)cc4OC[C@@H]32)O1,C=Cc1ncc(OC)c2c3ccccc3n(OC)c12,0
Cc1cccc2c3c(ccc12)C(O)=C([C@H](C)CO)C(=O)C3=O,C[C@]12C[C@H](O)[C@@H]3C[C@@]1(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)[C@]3(COC(=O)c1ccccc1)C(=O)O2,0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3(C)CC[C@@]21C)C(C)C,CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,0
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,1
COc1ccc([C@H]2COc3cc(O)ccc3C2=O)cc1,CC1(C)C=Cc2c(O)ccc(-c3cc4ccc(O)cc4o3)c2O1,1
CC1(C)CCC[C@@](C)([C@H]2CC[C@]3(C)[C@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@H]4CC[C@]23C)O1,COc1ccc([C@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,0
Cc1cccc2c3c(ccc12)C=C(C(C)C)C(=O)C3=O,COc1ccc([C@H]2COc3cc(O)ccc3C2=O)c(OC)c1OC,0
CC(=O)C[C@@]1(O)C(=O)C2=C(OC[C@@H]2C)c2ccc3c(C)cccc3c21,O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@H]34,0
C[C@H]1COC2=C1C(=O)C(O)=C1C2=CC(=O)C2=C1CCCC2(C)C,O=C1CCC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@](O)(CN12)[C@@H]34,0
O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,[H]OC([H])(C([H])([H])[H])C(O[H])(C(=O)O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@@]4([H])[C@@]5(O[H])[C@@]([H])(C([H])([H])[C@]24O[C@]13O[H])[C@]1([H])C([H])([H])N2C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])C(O[H])(C([H])([H])[H])[C@@]1([H])[C@@]([H])(O[H])[C@]5([H])OC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],1
COc1ccc(C[C@H]2COC(=O)/C2=C\c2ccc3c(c2)OCO3)cc1OC,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,C[C@@]12CC(=O)[C@H]3C[C@]1(O)[C@@]3(COC(=O)c1ccccc1)CO2,0
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,0
Cc1cccc2c3c(ccc12)[C@@]1(C[C@@H](C)CO1)OCC3=O,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@@](C)(O)CC,1
CC(C)=CCC[C@H](C)[C@]1(C)CC[C@]2(C)C3=C(CC[C@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CC1(C)C=Cc2c(ccc([C@@H]3COc4cc(O)cc(O)c4C3=O)c2O)O1,1
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@@](C)(O)CC,1
CC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@H]3C=CO[C@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3[C@]3(CO)O[C@H]23)[C@H](OC(C)=O)[C@@H]1OC(=O)/C=C\c1ccccc1,COc1cc2c(cc1O)O[C@@H]1c3ccc(O)cc3OC[C@H]21,0
O=C(O)c1ccc(O)cc1Nc1cc(O)ccc1C(=O)O,O=c1cccc2n1C[C@@H]1CCCN3CCC[C@H]2[C@H]13,0
O=c1oc2ccccc2c2oc3ccccc3c(=O)c12,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,0
CC1(C)C=Cc2c(ccc3c2O[C@H]2c4ccc(O)cc4OC[C@@H]32)O1,COC1=CC(=CC(OC)=C1O)C1OCC2C1COC2C1=CC(OC)=C(O)C(OC)=C1,1
CC(=O)O[C@H]1[C@H](C)O[C@H](O[C@@H]2[C@H]3C=CO[C@H](O)[C@H]3[C@]3(CO)O[C@H]23)[C@@H](OC(C)=O)[C@@H]1OC(=O)/C=C\c1ccccc1,CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@@H](CN3C[C@@H](C)CC[C@H]3[C@@]2(C)O)[C@@H]2C[C@]34O[C@]5(O)[C@@H](OC(=O)[C@@](C)(O)CC)CC[C@@]3(C)[C@@H]5[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O,1
Cc1ccc2c3c4c(ccc13)C(C)(C)OC4=C(C(C)C)C2=O,[H][C@@]12C[C@]34O[C@@]5(O)[C@H](CC[C@@]3(C)[C@@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(C)=O,1
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,C[C@@]12C=CC[C@H]1[C@@H]1CCC3=CC(=O)CC[C@]3(C)[C@H]1CC2,1
CC1(C)C=Cc2c(ccc3c2OC[C@@]2(O)c4ccc(O)cc4O[C@@H]32)O1,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,1
CC[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,COc1cc2oc(=O)ccc2cc1O,1
C=C1CCCc2c1ccc1c2C(=O)C(=O)C(C(C)C)=C1,O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@H]34,0
c1cc2c(cc1[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,COC1=CC=C(C=C1OC)C(=O)OC1CCC2(C)C3CCC4[C@]5(O)C[C@H](O)[C@@]6(O)C(CN7CC(C)CCC7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,1
C=C1[C@H](OC(C)=O)[C@H](OC(=O)c2ccccc2)[C@@H](OC(C)=O)C(C)(C)[C@H]2O[C@](O)([C@H](C)C2=O)[C@@]2(OC(C)=O)C[C@H](C)[C@@H](OC(C)=O)[C@@H]2[C@@H]1OC(C)=O,COc1cc2c(c(O)c1CC=C(C)C)C(=O)[C@H](c1ccc(O)cc1O)CO2,1
COc1cc(O)c(CC=C(C)C)c2c1C(=O)C[C@H](c1ccc(O)cc1)O2,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(COC(=O)c4c[nH]c5ccccc45)[C@@H]3O)cc2)Oc2cc(O)ccc21,1
O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,[H][C@@]12C[C@]34O[C@@]5(O)[C@H](CC[C@@]3(C)[C@@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(C)=O,1
Cc1cc2ccc3c(c2cc(O)c1=O)CCCC3(C)C,C[C@H]1CC[C@@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4C[C@H](O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,COc1cc(O)c2c(c1Cc1ccc(O)cc1)CCc1cc(O)ccc1-2,0
CC[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CC(C)=CCc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,0
CC(=O)C1=C[C@@H]2C=CC3=C(CCCC3(C)C)[C@H]2C=C1O,C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C[C@H](C1=CCOC1=O)S(=O)(=O)O,0
O=C1C[C@H](c2ccccc2)NCCCCN(C(=O)c2ccccc2)CCCN1,CC(C)c1cc2ccc3c(c2c(O)c1O)C(=O)CCC3(C)C,0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,CC1(C)O[C@@]2(C)CC[C@@H]1C[C@@H]2O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CCC2(C)C,CCO[C@H]1O[C@@H]2CC[C@@H](C(=O)C2)[C@@]1(O)COC(=O)c1ccccc1,0
CC1=C[C@@H](O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)/C=C\C=C(/C)[C@H]1C=C2C(C)(C)C[C@@H](O)C[C@@]2(C)O1,O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,0
COC(=O)C[C@](O)(CCC(C)C)C(=O)O[C@@H]1C(OC)=C[C@@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,CC(C)c1cc2c(cc1O)[C@]1(C)CCCC(C)(C)[C@@H]1CC2=O,0
C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O,O=C1C=CC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@H](CN12)[C@@H]34,0
COc1ccc(C[C@H]2COC(=O)/C2=C\c2ccc3c(c2)OCO3)cc1OC,C[C@@]12C[C@H]3O[C@@H]4O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@]34C[C@@H]1[C@@]4(COC(=O)c1ccccc1)C(=O)O2,0
O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
CC(=O)c1c(O)c(C(C)C)cc2c(c1=O)[C@@]13CCCC(C)(C)[C@@H]1C(=O)[C@@H]2OC3=O,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0
CCCCCC/C=C/C/C=C/CCCCCCCCC(=O)O,C[C@H]1CC[C@@H]2[C@H](C)[C@@H]3CC[C@H]4[C@@H]5CC(=O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@@H]5C[C@H]4[C@@H]3CN2C1,0
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,Cc1coc2c1C(=O)c1ccc3c(c1C2=O)CCCC3(C)C,0
CC(C)=CC/C=C(\C)[C@H]1CC[C@@]2(C)[C@@H]1[C@@H](O)C[C@@H]1[C@H]2[C@@H](C)C[C@@H]2C(C)(C)[C@H](O)CC[C@@]21C,C=C[C@](C)(O)CC[C@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,0
O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@H]2c4cc5c(cc4O[C@@H]32)OCO5)[C@H](O)[C@@H](O)[C@@H]1O,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@@](C)(O)CC,1
c1cc2c(cc1[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,C[C@]12CC(=O)[C@@H]3C[C@@]1(O)O[C@H](O2)[C@@H]3COC(=O)c1ccccc1,0
O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@@H]34,0
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,COc1ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)cc1O,1
Cc1cccc2c3c(ccc12)[C@@]1(C[C@@H](C)CO1)OCC3=O,COc1ccc([C@H]2COc3cc(O)ccc3C2=O)c(OC)c1OC,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC[C@@]2(C)O,CO[C@@]12C[C@]3(C)O[C@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]2C[C@]31O,0
CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,Oc1ccc2c(c1)OC[C@@H]1c3cc4c(cc3O[C@H]21)OCO4,0
CCN1C[C@]2(C)CC[C@H](O)[C@]34[C@H]1[C@H](C[C@H]23)[C@@]1(O)C[C@@H](OC)[C@H]2C[C@]4(O)[C@@H]1[C@H]2O,COc1ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)cc1O,1
O=C1[C@H](O)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,C[C@]12C[C@H](O)[C@@H]3C[C@@]1(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)[C@]3(COC(=O)c1ccccc1)C(=O)O2,0
CC(C)c1cc2ccc3c(c2c(O)c1O)C(=O)CCC3(C)C,CCO[C@@]12C[C@H]3O[C@@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]2C[C@@]31O,0
O=c1oc2ccccc2c2oc3ccccc3c(=O)c12,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC[C@@]2(C)O,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,COc1c2c(cc3oc(=O)c4c5ccc(O)cc5oc4c13)OC(C)(C)CC2,1
O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@@](C)(O)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@H](C)CC,1
Cc1cccc2c3c(ccc12)[C@@]1(C[C@@H](C)CO1)OCC3=O,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
C[C@@H]1COC2=C1C(=O)c1ccc3c(c1C2=O)CCCC3(C)C,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
O=C(/C=C/c1ccc2c(c1)O[C@H](C(=O)O)[C@@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
O=c1cc(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,C=C(O)/C=C/c1ccc(O)c(OC)c1,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,CC1(C)C=Cc2c(ccc3c2OC[C@@]2(O)c4ccc(O)cc4O[C@@H]32)O1,0
CC(C)C1=C[C@]23CC[C@H]4C(=CCCC4(C)C)[C@H]2OC(=O)[C@]3(O)C1=O,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)C1=NC[C@@H](C)CC1,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1[C@H](O)CCC2(C)C,C[C@]12C[C@H](O)[C@@H]3C[C@@]1(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)[C@]3(COC(=O)c1ccccc1)C(=O)O2,0
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,COc1c2c(cc3oc(=O)c(-c4ccc(O)cc4O)cc13)O[C@@](C)(CO)CC2,1
O=C1[C@H](O)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,C[C@H]1CC[C@@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4C[C@H](O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,1
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1)c1ccccc1,COc1c(CC=C(C)C)c(O)cc2oc(-c3ccc(O)cc3O)cc12,1
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CC1(C)O[C@@]2(C)CC[C@@H]1C[C@@H]2O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O,0
O=c1oc2ccccc2c2oc3ccccc3c(=O)c12,O=C(/C=C\c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,0
CC(=O)O[C@H]1CC[C@]23C[C@]24CC[C@]2(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]2(C)[C@@H]4CC[C@H]3C1(C)C,Cc1cccc2c3c(ccc12)C(O)=C([C@H](C)CO)C(=O)C3=O,0
CC(C)C1=C(O)C(=O)c2c(ccc3c2C(=O)CCC3(C)C)C1=O,COC1=CC(=CC(OC)=C1O)C1OCC2C1COC2C1=CC(OC)=C(O)C(OC)=C1,1
Cc1cccc2c1ccc1c3c(oc(=O)c12)[C@@H](C)CO3,CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@@H](CN3C[C@@H](C)CC[C@H]3[C@@]2(C)O)[C@@H]2C[C@]34O[C@]5(O)[C@@H](OC(=O)[C@@](C)(O)CC)CC[C@@]3(C)[C@@H]5[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O,1
CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,CC(C)C1=C(O)C(=O)c2c(ccc3c2C(=O)CCC3(C)C)C1=O,0
C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,COc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,1
O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0
C=C[C@](C)(O)CC[C@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,COc1ccc(/C=C\C(=O)O[C@@H]2[C@@H](OC(C)=O)[C@H](C)O[C@H](O[C@@H]3[C@@H]4O[C@]4(CO)[C@H]4[C@H](O)OC=C[C@@H]34)[C@H]2OC(C)=O)cc1,0
COc1ccc(C[C@H]2COC(=O)/C2=C\c2ccc3c(c2)OCO3)cc1OC,C[C@@]12CC(=O)[C@H]3C[C@]1(O)[C@@]3(COC(=O)c1ccccc1)CO2,0
CCCCC/C=C\C=C\C(=O)OCC1=C[C@H]2C(=O)[C@]3(C=C(C)[C@H](O)[C@@]3(O)[C@@H]1O)[C@H](C)C[C@@H]1[C@H]2C1(C)C,CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,1
COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)ccc3c2=O)cc1,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0
O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,CO[C@@H]1O[C@@]2(C)CC(=O)[C@H]3C[C@@]2(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@]31CO,0
C[C@@H]1COC2=C1C(=O)c1ccc3c(c1C2=O)CCCC3(C)C,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@H]2c4cc5c(cc4O[C@@H]32)OCO5)[C@H](O)[C@@H](O)[C@@H]1O,0
O=C(/C=C/c1ccc2c(c1)O[C@H](C(=O)O)[C@@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0
C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C[C@H](C1=CCOC1=O)S(=O)(=O)O,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0
Cc1cccc2c3c(ccc12)[C@@]1(C[C@@H](C)CO1)OCC3=O,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@@H]34,0
Cc1cccc2c3c(ccc12)C(O)=C([C@H](C)CO)C(=O)C3=O,C[C@]12C[C@@H](O)[C@@H]3C[C@@]1(O)[C@]3(COC(=O)c1ccccc1)C(=O)O2,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,CC1(C)C=Cc2cc([C@@H]3CC(=O)c4ccc5c(c4O3)C=CC(C)(C)O5)ccc2O1,1
C=Cc1ncc(OC)c2c3ccccc3n(OC)c12,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@@](C)(O)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@H](C)CC,1
CC(=O)C[C@@]1(O)C(=O)C2=C(OC[C@@H]2C)c2ccc3c(C)cccc3c21,Oc1ccc2c(c1)OC[C@@H]1c3cc4c(cc3O[C@H]21)OCO4,0
O=C(O)/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1,O=C1CCC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@](O)(CN12)[C@@H]34,0
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,COc1c(Cc2ccc(O)cc2)c(O)cc2c1-c1ccc(O)cc1CC2,0
C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C[C@H](C1=CCOC1=O)S(=O)(=O)O,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0
C=C1CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,C/C=C/CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0
CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,COc1c(/C=C/C(=O)c2ccc(O)cc2)ccc(O)c1O,1
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,COc1cc(O)c(CC=C(C)C)c2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,0
O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@H]34,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,CO[C@@H]1O[C@]2(C)CC(=O)[C@H]3C[C@]2(O)[C@]31COC(=O)c1ccccc1,0
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1)c1ccccc1,CC(C)=CCC[C@H](C)[C@]1(C)CC[C@]2(C)C3=C(CC[C@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,0
